1591841691,00017,261 Chemin des Colles 06140 Vence,01/01/1978,SOC EXPL PEPINIERES GAUDISSART,FR96313029795
1592074506,00033,6 Rue Forville 06400 Cannes,14/05/1998,QUALITE FOOD GROUPE,FR54413394420
1592074511,00090,1955 Chemin Saint Bernard 06220 Vallauris,13/07/2008,QUALITE FOOD GROUPE,FR54413394420
1592074513,00116,39 Place aux Aires 06130 Grasse,01/06/2009,QUALITE FOOD GROUPE,FR54413394420
1592086041,00013,7 Rue Raoul Bosio 06300 Nice,17/02/1998,OPERA VINS,FR56417763042
1592139719,00011,144 Avenue de la Plaine 06250 Mougins,21/01/2001,UNIVERSAL TRAINING,FR59434381471
1592199068,00013,1 Rue Léopold Bucquet 06400 Cannes,01/01/2004,EURL AWA,FR60452517238
1592331886,00014,18 Rue Guiglia 06000 Nice,21/01/2010,SARL LA VERDURA,FR18521700534
1592400167,00011,2 Rue Dalpozzo 06000 Nice,25/06/2012,MARGOT,FR45752547836
1592660515,00014,3 Rue Saint-François de Paule 06300 Nice,01/01/1970,LE DUB,FR89970801957
